alpha,c_l,c_d,c_m,converged
12.65,0.561,0.1888,-0.01008,1.0
12.66,0.561,0.189,-0.01013,1.0
12.67,0.561,0.1891,-0.010185,1.0
12.68,0.5615,0.1892,-0.01023,1.0
12.69,0.5615,0.1893,-0.010284,1.0
12.7,0.562,0.1895,-0.01034,1.0
12.71,0.562,0.1896,-0.01039,1.0
12.72,0.5625,0.1897,-0.01044,1.0
12.73,0.5625,0.1898,-0.01049,1.0
12.74,0.563,0.1901,-0.010544,1.0
12.75,0.563,0.1902,-0.0106,1.0
12.76,0.5635,0.1903,-0.01065,1.0
12.77,0.5635,0.1904,-0.0107,1.0
12.78,0.564,0.1906,-0.01075,1.0
12.79,0.564,0.1907,-0.0108,1.0
12.8,0.5645,0.1908,-0.01086,1.0
12.81,0.5645,0.1909,-0.0109,1.0
12.82,0.565,0.191,-0.010956,1.0
12.83,0.565,0.1912,-0.01101,1.0
12.84,0.5654,0.1913,-0.01106,1.0
12.85,0.5654,0.1914,-0.011116,1.0
12.86,0.566,0.1915,-0.01116,1.0
12.87,0.566,0.1917,-0.011215,1.0
12.88,0.5664,0.1918,-0.01127,1.0
12.89,0.5664,0.1919,-0.01132,1.0
12.9,0.567,0.192,-0.01137,1.0
12.91,0.567,0.1921,-0.01142,1.0
12.92,0.5674,0.1923,-0.011475,1.0
12.93,0.5674,0.1924,-0.01153,1.0
12.94,0.568,0.1925,-0.01158,1.0
12.95,0.568,0.1926,-0.01163,1.0
12.96,0.5684,0.1929,-0.01168,1.0
12.97,0.5684,0.193,-0.011734,1.0
12.98,0.569,0.1931,-0.01179,1.0
12.99,0.569,0.1932,-0.01184,1.0
13.0,0.5693,0.1934,-0.01189,1.0
13.01,0.5693,0.1935,-0.01194,1.0
13.02,0.57,0.1936,-0.01199,1.0
13.03,0.57,0.1937,-0.01205,1.0
13.04,0.5703,0.1938,-0.01209,1.0
13.05,0.5703,0.194,-0.012146,1.0
13.06,0.571,0.1941,-0.0122,1.0
13.07,0.571,0.1942,-0.01225,1.0
13.08,0.5713,0.1943,-0.01231,1.0
13.09,0.5713,0.1945,-0.01235,1.0
13.1,0.572,0.1946,-0.012405,1.0
13.11,0.572,0.1947,-0.01246,1.0
13.12,0.5723,0.1948,-0.01251,1.0
13.13,0.5723,0.195,-0.01256,1.0
13.14,0.5728,0.1951,-0.01261,1.0
13.15,0.5728,0.1952,-0.012665,1.0
13.16,0.573,0.1954,-0.01272,1.0
13.17,0.573,0.1956,-0.01277,1.0
13.18,0.5737,0.1957,-0.01282,1.0
13.19,0.5737,0.1958,-0.01287,1.0
13.2,0.574,0.1959,-0.012924,1.0
13.21,0.574,0.196,-0.01298,1.0
13.22,0.5747,0.1962,-0.01303,1.0
13.23,0.5747,0.1963,-0.01308,1.0
13.24,0.575,0.1964,-0.01313,1.0
13.25,0.575,0.1965,-0.01318,1.0
13.26,0.5757,0.1967,-0.01324,1.0
13.27,0.5757,0.1968,-0.01328,1.0
13.28,0.576,0.1969,-0.013336,1.0
13.29,0.576,0.197,-0.01339,1.0
13.3,0.5767,0.1971,-0.01344,1.0
13.31,0.5767,0.1973,-0.0135,1.0
13.32,0.577,0.1974,-0.01354,1.0
13.33,0.577,0.1976,-0.013596,1.0
13.34,0.5776,0.1978,-0.01365,1.0
13.35,0.5776,0.1979,-0.0137,1.0
13.36,0.578,0.198,-0.013756,1.0
13.37,0.578,0.1981,-0.0138,1.0
